"measuredElementSuaFbs","timePointYears","geographicAreaM49","measuredItemFbsSua","Value","flagObservationStatus","flagMethod"
"5910","2014","426","S2601",0.009617,"I","s"
"5141","2014","426","S2601",3072.144383,"I","s"
"5610","2014","426","S2601",3072.154,"I","s"
"664","2014","426","S2601",0.695441746160269,"I","s"
"674","2014","426","S2601",0.0327142206830099,"I","s"
"684","2014","426","S2601",0.00816088074260943,"I","s"
"5166","2014","426","S2601",0,"I","s"
"261","2014","426","S2601",528.00196511,"I","s"
"271","2014","426","S2601",24.837699064,"I","s"
"281","2014","426","S2601",6.196005766,"I","s"
"5141","2014","426","S2602",1,"I","s"
"5610","2014","426","S2602",1,"I","s"
"664","2014","426","S2602",0.000408307081328323,"I","s"
"674","2014","426","S2602",0.0000144883157890695,"I","s"
"684","2014","426","S2602",0.00000263423923437628,"I","s"
"5166","2014","426","S2602",0,"I","s"
"261","2014","426","S2602",0.31,"I","s"
"271","2014","426","S2602",0.011,"I","s"
"281","2014","426","S2602",0.002,"I","s"
"5910","2014","426","S2605",26.419762,"I","s"
"5520","2014","426","S2605",0,"I","s"
"5141","2014","426","S2605",48396.62784,"I","s"
"5610","2014","426","S2605",18971.331622,"I","s"
"5016","2014","426","S2605",2691.527739,"I","s"
"5510","2014","426","S2605",32138.21261,"I","s"
"5071","2014","426","S2605",0.0125,"I","s"
"664","2014","426","S2605",15.674047138934,"I","s"
"674","2014","426","S2605",0.90184648968886,"I","s"
"684","2014","426","S2605",0.132364165152918,"I","s"
"5166","2014","426","S2605",-5.04360900000029,"I","s"
"261","2014","426","S2605",11900.2457593,"I","s"
"271","2014","426","S2605",684.711151455,"I","s"
"281","2014","426","S2605",100.495174034,"I","s"
"5910","2014","426","S2611",0.375,"I","s"
"5141","2014","426","S2611",5937.048,"I","s"
"5610","2014","426","S2611",5937.423,"I","s"
"664","2014","426","S2611",5.62480336968195,"I","s"
"674","2014","426","S2611",0.0936650517528896,"I","s"
"684","2014","426","S2611",0.0101598339802333,"I","s"
"5166","2014","426","S2611",0,"I","s"
"261","2014","426","S2611",4270.53344,"I","s"
"271","2014","426","S2611",71.11355,"I","s"
"281","2014","426","S2611",7.713676,"I","s"
"5141","2014","426","S2612",34.766,"I","s"
"5610","2014","426","S2612",34.766,"I","s"
"664","2014","426","S2612",0.0176772599502246,"I","s"
"674","2014","426","S2612",0.000456673030791089,"I","s"
"684","2014","426","S2612",0.000166493139449901,"I","s"
"5166","2014","426","S2612",0,"I","s"
"261","2014","426","S2612",13.42115,"I","s"
"271","2014","426","S2612",0.346721,"I","s"
"281","2014","426","S2612",0.126407,"I","s"
"5910","2014","426","S2613",0.024,"I","s"
"5141","2014","426","S2613",182.138,"I","s"
"5610","2014","426","S2613",182.162,"I","s"
"664","2014","426","S2613",0.329890652663525,"I","s"
"674","2014","426","S2613",0.00452967183036168,"I","s"
"684","2014","426","S2613",0.0011354124290401,"I","s"
"5166","2014","426","S2613",0,"I","s"
"261","2014","426","S2613",250.4637,"I","s"
"271","2014","426","S2613",3.439074,"I","s"
"281","2014","426","S2613",0.862042,"I","s"
"5910","2014","426","S2614",0.024,"I","s"
"5141","2014","426","S2614",112.261,"I","s"
"5610","2014","426","S2614",112.285,"I","s"
"664","2014","426","S2614",0.0385382219255279,"I","s"
"674","2014","426","S2614",0.00073975496451525,"I","s"
"684","2014","426","S2614",0.000295722330690316,"I","s"
"5166","2014","426","S2614",0,"I","s"
"261","2014","426","S2614",29.25947,"I","s"
"271","2014","426","S2614",0.561646,"I","s"
"281","2014","426","S2614",0.224522,"I","s"
"5141","2014","426","S2615",353.013,"I","s"
"5610","2014","426","S2615",353.013,"I","s"
"664","2014","426","S2615",0.278976208453462,"I","s"
"674","2014","426","S2615",0.00325472243195706,"I","s"
"684","2014","426","S2615",0.00139488104226731,"I","s"
"5166","2014","426","S2615",0,"I","s"
"261","2014","426","S2615",211.8078,"I","s"
"271","2014","426","S2615",2.471091,"I","s"
"281","2014","426","S2615",1.059039,"I","s"
"5141","2014","426","S2616",1001.061,"I","s"
"5610","2014","426","S2616",1001.061,"I","s"
"664","2014","426","S2616",0.988887810826482,"I","s"
"674","2014","426","S2616",0.0105481366488158,"I","s"
"684","2014","426","S2616",0.00395555124330593,"I","s"
"5166","2014","426","S2616",0,"I","s"
"261","2014","426","S2616",750.79575,"I","s"
"271","2014","426","S2616",8.008488,"I","s"
