"geographicAreaM49","measuredItemFbsSua","measuredElementSuaFbs","timePointYears","Value","flagObservationStatus","flagMethod"
"426","01699","5910","2016",25.5625,"I","s"
"426","01701","5910","2016",0.66171,"I","s"
"426","01702","5910","2016",0.002,"I","s"
"426","01704","5910","2016",0.3028,"I","s"
"426","01705","5910","2016",7.0932,"I","s"
"426","01709.90","5910","2016",0.1055,"I","s"
"426","01919.96","5910","2016",31.675,"I","s"
"426","01921.02","5910","2016",0,"I","s"
"426","01950.01","5910","2016",0.5,"I","s"
"426","01970","5910","2016",0.012,"I","s"
"426","01990.01","5910","2016",18,"I","s"
"426","02211","5910","2016",800,"I","s"
"426","0231","5910","2016",0.29429,"I","s"
"426","02941","5910","2016",3142.52325,"I","s"
"426","02942.90","5910","2016",1.002,"I","s"
"426","02943.02","5910","2016",242.7632,"I","s"
"426","02951.04","5910","2016",4.5,"I","s"
"426","02959.99","5910","2016",35.87,"I","s"
"426","17400","5910","2016",33.619,"I","s"
"426","21113.01","5910","2016",0.036,"I","s"
"426","21153","5910","2016",0.154,"I","s"
"426","21181","5910","2016",0.3184,"I","s"
"426","21184.02","5910","2016",31.0233,"I","s"
"426","21313","5910","2016",0.3,"I","s"
"426","21329","5910","2016",11.72766,"I","s"
"426","21330.90","5910","2016",0.7,"I","s"
"426","21340","5910","2016",1.99009,"I","s"
"426","21393.01","5910","2016",0.005,"I","s"
"426","21393.90","5910","2016",0.2542,"I","s"
"426","21397.01","5910","2016",1.1,"I","s"
"426","21411","5910","2016",0.002,"I","s"
"426","21412","5910","2016",0.01,"I","s"
"426","21419.99","5910","2016",332.337,"I","s"
"426","21429.07","5910","2016",0.0245,"I","s"
"426","21431.02","5910","2016",1.1531,"I","s"
"426","21439.03","5910","2016",0.18,"I","s"
"426","21439.9","5910","2016",23.633351,"I","s"
"426","21495.01","5910","2016",0.0181,"I","s"
"426","21631.01","5910","2016",7.633,"I","s"
"426","21641.01","5910","2016",0.285,"I","s"
"426","2167","5910","2016",0.00015,"I","s"
"426","2168","5910","2016",0.805,"I","s"
"426","21691.90","5910","2016",6.65,"I","s"
"426","21700.02","5910","2016",0.08,"I","s"
"426","22110.02","5910","2016",0,"I","s"
"426","22211","5910","2016",3.10142,"I","s"
"426","22212","5910","2016",3.51705,"I","s"
"426","22221.01","5910","2016",0.006,"I","s"
"426","22222.01","5910","2016",0.08262,"I","s"
"426","22230.02","5910","2016",11.49541,"I","s"
"426","22251.01","5910","2016",0.10845,"I","s"
"426","22260","5910","2016",0.142,"I","s"
"426","23120.90","5910","2016",11.80935,"I","s"
"426","23140.03","5910","2016",52.24948,"I","s"
"426","23140.08","5910","2016",1.8062,"I","s"
"426","23161.02","5910","2016",62.791699,"I","s"
"426","23161.03","5910","2016",2.075,"I","s"
"426","23162","5910","2016",2.62,"I","s"
"426","23170.02","5910","2016",0.0075,"I","s"
"426","23170.03","5910","2016",0.0045,"I","s"
"426","23180","5910","2016",0,"I","s"
"426","23210.04","5910","2016",0.3,"I","s"
"426","23220.03","5910","2016",0.0094,"I","s"
"426","23311","5910","2016",35.90872,"I","s"
"426","2351f","5910","2016",32,"I","s"
"426","23520","5910","2016",0.252,"I","s"
"426","23670.01","5910","2016",5.5676,"I","s"
"426","23710","5910","2016",7.89497,"I","s"
"426","23912.01","5910","2016",0.02984,"I","s"
"426","23912.02","5910","2016",0.19361,"I","s"
"426","23914","5910","2016",0.08145,"I","s"
"426","23991.01","5910","2016",0.0678,"I","s"
"426","23991.02","5910","2016",1.41337,"I","s"
"426","23991.03","5910","2016",0.219,"I","s"
"426","23991.04","5910","2016",15,"I","s"
"426","23995.01","5910","2016",1,"I","s"
"426","23995.03","5910","2016",3.19175,"I","s"
"426","23999.02","5910","2016",0,"I","s"
"426","2413","5910","2016",0.0365,"I","s"
"426","24212.02","5910","2016",0.19475,"I","s"
"426","24230.03","5910","2016",2.01022,"I","s"
"426","24310.01","5910","2016",0.26006,"I","s"
"426","24320","5910","2016",53.664,"I","s"
"426","24490","5910","2016",299.346203,"I","s"
"426","25090","5910","2016",0.1267,"I","s"
"426","26130","5910","2016",2280.206,"I","s"
"426","26150.01","5910","2016",70.028,"I","s"
"426","26150.02","5910","2016",3559.961156,"I","s"
"426","26160","5910","2016",1003.0166,"I","s"
"426","35410.90","5910","2016",17.0285,"I","s"
"426","39130.04","5910","2016",30.38,"I","s"
"426","39170.01","5910","2016",2133.291035,"I","s"
"426","F0020","5910","2016",1.556,"I","s"
"426","F0473","5910","2016",0.2819,"I","s"
"426","F0475","5910","2016",1.476,"I","s"
"426","F0623","5910","2016",0.75,"I","s"
"426","F0665","5910","2016",2.31293191489362,"I","s"
"426","F0769","5910","2016",0,"I","s"
"426","F0875","5910","2016",5.35,"I","s"
"426","F0994","5910","2016",45.044,"I","s"
"426","F1042","5910","2016",0.1183,"I","s"
"426","F1172","5910","2016",14.2841,"I","s"
"426","F1232","5910","2016",191.00009,"I","s"
"426","F1294","5910","2016",165.66,"I","s"
"426","0111","5910","2017",25482.3546666667,"I","s"
"426","0112","5910","2017",2913.37411613481,"I","s"
"426","0113","5910","2017",0.146,"I","s"
"426","0114","5910","2017",3.6,"I","s"
"426","0115","5910","2017",0.046,"I","s"
"426","0117","5910","2017",1.88165838452333,"I","s"
"426","0118","5910","2017",0.003,"I","s"
"426","01241.90","5910","2017",0.006,"I","s"
"426","01242","5910","2017",0.061,"I","s"
"426","01243","5910","2017",0.105,"I","s"
"426","01290.90","5910","2017",0.1045,"I","s"
"426","01329","5910","2017",0.10265,"I","s"
"426","01341","5910","2017",0.009,"I","s"
"426","01344.02","5910","2017",2,"I","s"
"426","01346","5910","2017",0.006,"I","s"
"426","01349.20","5910","2017",17.201,"I","s"
"426","01351.02","5910","2017",4.44,"I","s"
"426","01379.90","5910","2017",0.003,"I","s"
"426","01444","5910","2017",0.003,"I","s"
"426","01449.90","5910","2017",0.003,"I","s"
"426","01460","5910","2017",0.0113,"I","s"
"426","01510","5910","2017",3.6,"I","s"
"426","01610","5910","2017",0.11957,"I","s"
"426","01620","5910","2017",2,"I","s"
"426","01655","5910","2017",0.003,"I","s"
"426","01699","5910","2017",0.0335,"I","s"
"426","01701","5910","2017",39.06631,"I","s"
"426","01704","5910","2017",0.13792,"I","s"
"426","01705","5910","2017",0.3919,"I","s"
"426","01709.90","5910","2017",0.0386,"I","s"
"426","01913","5910","2017",0.18,"I","s"
"426","01919.96","5910","2017",7.45,"I","s"
"426","01921.02","5910","2017",0,"I","s"
"426","01929.90","5910","2017",4,"I","s"
"426","01970","5910","2017",0.002,"I","s"
"426","02211","5910","2017",700,"I","s"
"426","02941","5910","2017",37.7414,"I","s"
"426","02942.90","5910","2017",7.14,"I","s"
"426","02943.02","5910","2017",680.12,"I","s"
"426","02951.04","5910","2017",12.282,"I","s"
"426","02953.04","5910","2017",9,"I","s"
"426","02959.99","5910","2017",35.9,"I","s"
"426","17400","5910","2017",54.291,"I","s"
